id,name,country,county,address,lat,lng,water_type,water_name,nearest_city,city_dist_km,isWaterfront,hasBeach,hasSwimming,hasBoat,hasFishing,hasSauna,listingType,bookable,website,url,facilities
64b9818c90df3c000d65e83f,Sønderballe Strand Camping,DK,,"Diernæsvej 218, 6100 Haderslev",55.13258,9.476541,sea,,Vejle,64,true,false,true,false,true,false,CAMPSITE,false,https://soenderballe-camping.dk/autocamper/,https://campio.no/campsite/sonderballe-strand-camping,SWIMMING|FISHING|LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|TANK|BAKERY|HIKING|LOOKOUT_POINT|BBQ|COOKING|DEFIBRILLATOR|HANDICAP|RESTAURANT
64b9818c90df3c000d65e824,Skovmose Camping,DK,,"Skovmosevej 8, 6470 Sydals",54.87154,10.01456,sea,,Odense,64,true,false,true,false,true,false,CAMPSITE,false,http://www.skovmose-camping.dk/,https://campio.no/campsite/skovmose-camping,CITY|HIKING|PITSTOP|RESTAURANT|LAUNDRY|DUMP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|HANDICAP|TUMBLEDRY|TANK|MOUNTAINBIKE|FISHING|SWIMMING|BBQ|COOKING
64b9818c90df3c000d65e7e3,Odsherred Camping,DK,,"Nordstrandvej 107, 4500 Nykøbing",55.93874,11.66346,sea,,Copenhagen,64,false,false,false,false,false,false,CAMPSITE,false,http://www.odsherredcamping.dk/,https://campio.no/campsite/odsherred-camping,LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|HANDICAP|SHOP
6710af66a13378cff6d98dac,Tiny Seaside Loddenhøj,DK,,"Loddenhøjvej 245, 6200 Aabenraa, Denmark",55.1048083,9.5250794,sea,,Odense,65,true,false,true,false,true,false,CAMPSITE,true,https://www.tinyseaside.dk/da/camping/,https://campio.no/campsite/tiny-seaside-loddenhoj,SWIMMING|SHOWER|FISHING|PETS|ELECTRICITY|WIFI|WC|GRASS|POWER_INLCUDED|WATER|PITSTOP|DUMP|HIKING|CANOE_KAYAK_STARTINGPOINT
6984971840e133886883f9af,Elmelund Camperspot,DK,,"Gillesbjergvej 3, 5900 Rudkøbing, Denmark",54.861371,10.7903656,sea,,Odense,65,true,false,true,false,true,false,CAMPSITE,false,,https://campio.no/campsite/elmelund-camperspot,PETS|ELECTRICITY|TRASH|SHOWER|WC|WATER|GRASS|SWIMMING|FISHING|HIKING
6984971840e133886883f9b4,Drejby Hof,DK,,"90B Kegnæsvej 6470 Sydals, Denmark",54.8640257,9.9976008,sea,,Odense,65,true,false,true,false,true,false,CAMPSITE,false,,https://campio.no/campsite/drejby-hof,PETS|WATER|TRASH|WC|SHOWER|ELECTRICITY|WIFI|SURFING|MOUNTAINBIKE|HIKING|CANOE_KAYAK_STARTINGPOINT|FISHING|SWIMMING|LOOKOUT_POINT
64b9818c90df3c000d65e750,Gerlis Camping,DK,,"Kærvang 7, 7900 Nykøbing Mors",56.93043,8.870885,sea,,Aalborg,65,false,false,false,false,false,false,CAMPSITE,false,https://www.gerliscamping.dk/,https://campio.no/campsite/gerlis-camping,CITY|HIKING
64b9818c90df3c000d65e7df,Nøreng Strandcamping,DK,,"Nørengsvej 21, 7870 Roslev",56.7966,8.953691,sea,,Aalborg,65,false,false,false,false,false,false,CAMPSITE,false,,https://campio.no/campsite/noreng-strandcamping,
64b9818c90df3c000d65e80c,Sandskaer Strandcamping,DK,,"Sandskaervej 592, 6200 Aabenraa",55.11684,9.496944,sea,,Odense,66,true,false,true,true,true,false,CAMPSITE,false,https://www.sandskaer.dk/,https://campio.no/campsite/sandskaer-strandcamping,CITY|RESTAURANT|FISHING|LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|HANDICAP|BICYCLE|BAKERY|TUMBLEDRY|SHOP|TANK|HIKING|SWIMMING|LOOKOUT_POINT|BAR|BBQ|COOKING|BOAT|CHARGING|DEFIBRILLATOR|FIRE_EXTINGUISHER|HORSE_RIDING
64b9818c90df3c000d65e727,Drejby Strand Camping,DK,,"Kegnæsvej 85, 6470 Sydals",54.86072,9.999516,sea,,Odense,66,true,false,true,true,true,true,CAMPSITE,false,https://www.drejby.dk/?utm_source=apps&utm_medium=campingapps&utm_campaign=campio,https://campio.no/campsite/drejby-strandcamping,FISHING|MINIGOLF|POOL|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|SHOWER|WC|FRESHWATER|TANK|BAKERY|WIFI|LAUNDRY|MOUNTAINBIKE|SWIMMING|LOOKOUT_POINT|PLAYGROUND|COOKING|BOAT|HANDICAP|RESTAURANT|SAUNA|FOOTBALL_PITCH|SUP_RENTAL|BBQ|TUMBLEDRY|TV|RECEPTION|RESTAREA|FAMILY_WC|JUMPING_PILLOW|SHOP
65b8be1608c2641b1a498020,Ristinge Camping,DK,,"Ristingevej 104, 5932 Humble",54.81984,10.64015,sea,,Odense,67,true,false,true,false,false,false,CAMPSITE,false,https://business.secureholiday.net/redirection/establishment/Redirect?param=VHRKQzFhcTVJdE1ZdUxkNDM1TkVrUT09OjU2UzhjTURvZDZ4VjZZOWdDMXd1dEE9PQ==,https://campio.no/campsite/ristinge-camping-1,LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|HANDICAP|POOL|SHOP|TANK|BAKERY|MOUNTAINBIKE|CANOE_KAYAK_STARTINGPOINT|SWIMMING|CAFE|BBQ|COOKING|BICYCLE|BILLIARDS|DEFIBRILLATOR|FIRE_EXTINGUISHER|RESTAURANT
64b9818c90df3c000d65e843,Sønderkobbel Strand Camping,DK,,"Piledøppel 2, 6470 Sydals",54.854,9.958553,sea,,Odense,67,false,false,false,false,true,false,CAMPSITE,false,,https://campio.no/campsite/sonderkobbel-strand-camping,BAR|BBQ|COOKING|FISHING|ELECTRICITY|HANDICAP|RESTAURANT
64b9818c90df3c000d65e811,Sejerø Camping,DK,,"Sejerøvej 3, 4592 Sejerø",55.8853,11.1511,sea,,Aarhus,67,true,false,true,false,true,false,CAMPSITE,true,https://sejeroe.dk/wp/,https://campio.no/campsite/sejero-camping,COOKING|WC|ELECTRICITY|PETS|FISHING|WIFI|SWIMMING|SHOWER|FRESHWATER|HIKING|TRASH|RESTAREA|BAR
64b9818c90df3c000d65e7e0,Nørre Lyngvig Camping,DK,,"Holmsland Klitvej 81, 6960 Hvide Sande",56.04189,8.115652,sea,,Esbjerg,67,true,false,true,false,true,false,CAMPSITE,false,https://www.dcu.dk/lyngvig,https://campio.no/campsite/norre-lyngvig-camping,HIKING|SHOP|CITY|LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|HANDICAP|TANK|BAKERY|POOL|MOUNTAINBIKE|FISHING|SWIMMING|LOOKOUT_POINT|COOKING
64b9818c90df3c000d65e87b,Østerby Camping,DK,,"Campingpladsvej 8, 9940 Læsø",57.31792,11.13072,sea,,Gothenburg,67,false,false,false,false,false,false,CAMPSITE,false,https://laesoecamping.dk/kontakt/,https://campio.no/campsite/osterby-camping-1,BEDLINEN|BICYCLE|COOKING|DISHWASHER|ELECTRICITY|FIREPLACE|FOOTBALL_PITCH|HANDICAP|JUMPING_PILLOW|LAUNDRY|PETS|PLAYGROUND|SHOP|SHOWER|TOWELS|TUMBLEDRY|TV|WC|WIFI
64b9818c90df3c000d65e7a7,Landbrugere Tove & Ole Søjberg,DK,,"Varnæsvigvej 41, 6200 Aabenraa",55.01959,9.56717,sea,,Odense,68,false,false,false,false,false,false,CAMPSITE,false,www.soejberg.dk,https://campio.no/campsite/landbrugere-tove-and-ole-sojberg,FARM_ANIMALS|LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|SHOWER|WC|FRESHWATER
670cdbd03b9216415c958a5f,Tiny Seaside Kegnæs,DK,,"Østerbyvej 51, 6470 Sydals, Danmark",54.86419,9.91377,sea,,Odense,68,false,false,false,false,true,false,CAMPSITE,true,https://www.tinyseaside.dk/da/camping/,https://campio.no/campsite/tiny-seaside,FISHING|PETS|ELECTRICITY|HIKING|FRESHWATER|WIFI|WC
64b9818c90df3c000d65e841,Sønderby Strand Camping,DK,,"Sønderbygade 4-6, 6470 Sydals",54.86577,9.892075,sea,,Odense,68,true,false,true,true,true,false,CAMPSITE,false,http://sonderbystrandcamping.dk/,https://campio.no/campsite/sonderby-strand-camping,BAKERY|BBQ|BICYCLE|BILLIARDS|BOAT|CLIMBING|COOKING|DUMP|ELECTRICITY|FAMILY_WC|FIREPLACE|FISHING|FRESHWATER|HANDICAP|HIKING|LAUNDRY|LOOKOUT_POINT|NURSERY|PETS|PITSTOP|PLAYGROUND|RECEPTION|RESTAURANT|SCUBA_DIVING|SHOP|SHOWER|SURFING|SWIMMING|TANK|TRASH|WC|WIFI
64b9818c90df3c000d65e840,Sønderborg Camping,DK,,"Ringgade 7, 6400 Sønderborg",54.90105,9.797958,sea,,Odense,68,false,false,false,false,true,false,CAMPSITE,false,https://sonderborgcamping.dk/,https://campio.no/campsite/sonderborg-camping,CITY|MINIGOLF|TENNIS|RESTAURANT|POOL|LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|WIFI|PLAYGROUND|SHOWER|WC|FRESHWATER|HANDICAP|TANK|MOUNTAINBIKE|HIKING|FISHING|LOOKOUT_POINT|BBQ|COOKING|BICYCLE|DEFIBRILLATOR
697a23f6a1194fba81b6145a,Sønderborg Autocamper Park,DK,Syddanmark,"60 Nordvesthavnsvej 6400 Sønderborg,",54.9188,9.7636,sea,,Odense,68,true,false,true,false,false,false,CAMPSITE,true,https://sgdautocamperpark.dk/en/,https://campio.no/campsite/sonderborg-autocamper-park,SWIMMING|ELECTRICITY|CITY|PITSTOP|DUMP|TANK|TRASH|LAUNDRY|PETS|SHOWER|WIFI|WC
6984971940e133886883fac8,Skovlygård Camperparkering,DK,,"Dyremarken 18, 4720 Præstø, Denmark",55.1147868,12.1618049,sea,,Copenhagen,68,false,false,false,false,true,false,CAMPSITE,false,,https://campio.no/campsite/skovlygard-camperparkering,PETS|WATER|GRASS|FISHING|BICYCLE|HIKING
65b8bef9a5104b5f04b05827,Vesterlyng Camping,DK,,"Ravnholtvej 3, 4591  Føllenslev",55.74385,11.30894,sea,,Odense,68,true,false,true,false,false,false,CAMPSITE,false,https://business.secureholiday.net/redirection/establishment/Redirect?param=eHZkcjVPYlhRTGx6TUNUQVZkdXJYa3Y0RDdTV0VoNTRjVU94M3BYSFd1QT06bFk3TXllWHRWRjFRRjY4VTkwM0dSUT09,https://campio.no/campsite/vesterlyng-camping-1,CITY|POOL|LAUNDRY|DUMP|PITSTOP|PETS|ELECTRICITY|TRASH|PLAYGROUND|SHOWER|WC|FRESHWATER|TANK|WIFI|HIKING|SWIMMING|LOOKOUT_POINT|CAFE|BBQ|COOKING|BICYCLE|CLIMBING|DEFIBRILLATOR|HANDICAP|RESTAURANT|SHOP|PETANQUE
